equipmentType,faultCode,issueTitle,troubleshootingSteps,issueTitleEs,troubleshootingStepsEs
"HEM Gen. 2","F1: Watchdog","DSP Fault / Defective software update","1. Disconnect for ten seconds and reconnect the auxiliary services supply.\n2. Reinstall the microcontroller and initialize the Service Group.\n[Enlace: manual_hem2.pdf, Pag: 45]","Fallo DSP / Actualización de software defectuosa","1. Desconectar durante diez segundos y volver a conectar el suministro de servicios auxiliares.\n2. Reinstalar el microcontrolador e inicializar el Grupo de Servicio.\n[Enlace: manual_hem2.pdf, Pag: 45]"
"HEM Gen. 2","F5: High Vac","High AC voltage fault","1. Check the voltage with an external voltmeter and the displayed voltage in the inverter.\n2. Check the AC voltage measurement fuses.\n[Enlace: manual_hem2.pdf, Pag: 46]","Fallo de alto voltaje AC","1. Compruebe el voltaje con un voltímetro externo y el voltaje mostrado en el inversor.\n2. Compruebe los fusibles de medición de voltaje AC.\n[Enlace: manual_hem2.pdf, Pag: 46]"
"HEM Gen. 2","F65: Mod. AC overcurrent","Overcurrent in any of the three phases","1. Check wiring, including optical fiber.\n2. Check that the AC fuses are not blown.\n[Enlace: diagrama_hem2.pdf, Pag: 10]","Sobrecorriente en cualquiera de las tres fases","1. Compruebe el cableado, incluida la fibra óptica.\n2. Compruebe que los fusibles AC no estén fundidos.\n[Enlace: diagrama_hem2.pdf, Pag: 10]"
